prompt_id,dimension,prefix_sha,response_chars,hit_expected,total_expected,hit_forbidden,total_forbidden,score,status,notes
worktree-01,worktree-isolation,6c7f3a0,1244,2,2,0,2,1.0,pass,
worktree-02,worktree-isolation,6c7f3a0,1381,1,1,0,3,1.0,pass,
worktree-03,worktree-isolation,6c7f3a0,1274,2,2,0,2,1.0,pass,
worktree-04,worktree-isolation,6c7f3a0,1780,2,2,0,2,1.0,pass,
delegation-01,delegation,6c7f3a0,1193,1,1,0,2,1.0,pass,
delegation-02,delegation,6c7f3a0,1227,1,1,0,0,1.0,pass,
delegation-03,delegation,6c7f3a0,1270,1,1,0,2,1.0,pass,
delegation-04,delegation,6c7f3a0,1257,1,1,1,2,0.0,fail,found_forbidden=['self-do']
commit-01,commit-path,6c7f3a0,360,1,1,0,2,1.0,pass,
commit-02,commit-path,6c7f3a0,629,1,1,0,1,1.0,pass,
commit-03,commit-path,6c7f3a0,214,1,1,0,3,1.0,pass,
commit-04,commit-path,6c7f3a0,298,2,2,0,2,1.0,pass,
merge-01,merge-flow,6c7f3a0,516,1,1,2,2,0.0,fail,"found_forbidden=['git cherry-pick', 'cherry-pick']"
merge-02,merge-flow,6c7f3a0,440,1,1,0,2,1.0,pass,
merge-03,merge-flow,6c7f3a0,427,1,1,0,2,1.0,pass,
merge-04,merge-flow,6c7f3a0,275,2,2,0,2,1.0,pass,
